CodiceFiscale,Name,Birthday,Phone,Country,Address,City,Province
NPLLSM89M04H501N,Simona Napoli,1989-03-04,+39 334 3344556,Italy,Viale dei Colli 78,Florence,FI
PLLMRA87M05H501O,Oscar Palladino,1987-10-05,+39 330 4455667,Italy,Via della Croce 21,Rome,RM
GGRGNO92M23H501P,Noemi Grasso,1992-07-23,+39 340 5566778,Italy,Corso Italia 34,Milan,MI
TSTNCR95M28H501Q,Questa Testa,1995-04-28,+39 345 1122334,Italy,Via della Moscova 67,Milan,MI
PSCDLR91M09H501R,Riccardo Pascale,1991-02-09,+39 326 3344556,Italy,Corso Magenta 12,Milan,MI
GRGGRN89M10H501S,Sofia Gragnani,1989-09-10,+39 312 4455667,Italy,Viale dei Pini 45,Florence,FI
DNCSCA96M15H501T,Carla Donatelli,1996-11-15,+39 317 5566778,Italy,Piazza Navona 21,Rome,RM
DLLRLL93M09H501U,Lorenzo Dallara,1993-04-09,+39 329 2233445,Italy,Viale Trastevere 34,Rome,RM
LRNCPR88M02H501V,Valentina Lorenzini,1988-08-02,+39 312 2345678,Italy,Corso Buenos Aires 56,Milan,MI
FRTGNN85M26H501W,Walter Frattini,1985-11-26,+39 315 3456789,Italy,Via Veneto 67,Rome,RM
VLLNCR90M21H501X,Xavier Villani,1990-06-21,+39 326 1122334,Italy,Corso Garibaldi 12,Milan,MI
MRTLSA90M22H501Y,Yasmine Moretti,1990-04-22,+39 349 9876543,Italy,Corso Vittorio Emanuele 45,Rome,RM
LZZMRA98M07H501Z,Zara Lazzaro,1998-12-07,+39 321 2233445,Italy,Via Nazionale 45,Rome,RM
NPLLSM89M04H501A,Alberto Napoli,1989-03-04,+39 334 3344556,Italy,Viale dei Colli 78,Florence,FI
PLLMRA87M05H501B,Beatrice Palladino,1987-10-05,+39 330 4455667,Italy,Via della Croce 21,Rome,RM
GGRGNO92M23H501C,Chiara Grasso,1992-07-23,+39 340 5566778,Italy,Corso Italia 34,Milan,MI
TSTNCR95M28H501D,Dario Testa,1995-04-28,+39 345 1122334,Italy,Via della Moscova 67,Milan,MI
PSCDLR91M09H501E,Enrico Pascale,1991-02-09,+39 326 3344556,Italy,Corso Magenta 12,Milan,MI
GRGGRN89M10H501F,Fabio Gragnani,1989-09-10,+39 312 4455667,Italy,Viale dei Pini 45,Florence,FI
DNCSCA96M15H501G,Giulia Donatelli,1996-11-15,+39 317 5566778,Italy,Piazza Navona 21,Rome,RM
DLLRLL93M09H501H,Helena Dallara,1993-04-09,+39 329 2233445,Italy,Viale Trastevere 34,Rome,RM
LRNCPR88M02H501I,Irene Lorenzini,1988-08-02,+39 312 2345678,Italy,Corso Buenos Aires 56,Milan,MI
FRTGNN85M26H501J,Jonny Frattini,1985-11-26,+39 315 3456789,Italy,Via Veneto 67,Rome,RM
VLLNCR90M21H501K,Katia Villani,1990-06-21,+39 326 1122334,Italy,Corso Garibaldi 12,Milan,MI
MRTLSA90M22H501L,Lorenzo Moretti,1990-04-22,+39 349 9876543,Italy,Corso Vittorio Emanuele 45,Rome,RM
LZZMRA98M07H501M,Marco Lazzaro,1998-12-07,+39 321 2233445,Italy,Via Nazionale 45,Rome,RM
NPLLSM89M04H501N,Nadia Napoli,1989-03-04,+39 334 3344556,Italy,Viale dei Colli 78,Florence,FI
PLLMRA87M05H501O,Olivia Palladino,1987-10-05,+39 330 4455667,Italy,Via della Croce 21,Rome,RM
GGRGNO92M23H501P,Piero Grasso,1992-07-23,+39 340 5566778,Italy,Corso Italia 34,Milan,MI
TSTNCR95M28H501Q,Quirino Testa,1995-04-28,+39 345 1122334,Italy,Via della Moscova 67,Milan,MI
PSCDLR91M09H501R,Rita Pascale,1991-02-09,+39 326 3344556,Italy,Corso Magenta 12,Milan,MI
GRGGRN89M10H501S,Silvia Gragnani,1989-09-10,+39 312 4455667,Italy,Viale dei Pini 45,Florence,FI
DNCSCA96M15H501T,Tommaso Donatelli,1996-11-15,+39 317 5566778,Italy,Piazza Navona 21,Rome,RM
DLLRLL93M09H501U,Umberto Dallara,1993-04-09,+39 329 2233445,Italy,Viale Trastevere 34,Rome,RM
LRNCPR88M02H501V,Valeria Lorenzini,1988-08-02,+39 312 2345678,Italy,Corso Buenos Aires 56,Milan,MI
FRTGNN85M26H501W,Wanda Frattini,1985-11-26,+39 315 3456789,Italy,Via Veneto 67,Rome,RM
VLLNCR90M21H501X,Xavier Villani,1990-06-21,+39 326 1122334,Italy,Corso Garibaldi 12,Milan,MI
